date,open1,high1,low1,close1,preclose1,open2,high2,low2,close2,preclose2,open3,high3,low3,close3,preclose3,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2007-4-12,3503.227,3532.862,3488.077,3531.029,3495.224,3503.227,3532.862,3488.077,3531.029,3495.224,3503.227,3532.862,3488.077,3531.029,3495.224,13538987900,1.48E+11,0.055583,1,1.024396,,,,,0
2007-4-13,3537.22,3563.856,3504.161,3518.267,3531.029,3537.22,3563.856,3504.161,3518.267,3531.029,3537.22,3563.856,3504.161,3518.267,3531.029,15069587600,1.66E+11,0.061854,1,-0.361423,,,,,0
2007-4-16,3523.217,3597.215,3523.217,3596.441,3518.267,3523.217,3597.215,3523.217,3596.441,3518.267,3523.217,3597.215,3523.217,3596.441,3518.267,13103910100,1.46E+11,0.05366,1,2.221941,,,,,0
2007-4-17,3611.63,3622.888,3510.498,3611.87,3596.441,3611.63,3622.888,3510.498,3611.87,3596.441,3611.63,3622.888,3510.498,3611.87,3596.441,16066064600,1.76E+11,0.065741,1,0.429013,,,,,0
2007-4-18,3614.678,3623.867,3564.23,3612.396,3611.87,3614.678,3623.867,3564.23,3612.396,3611.87,3614.678,3623.867,3564.23,3612.396,3611.87,15048542400,1.67E+11,0.061493,1,0.01456,,,,,0
2007-4-19,3610.024,3617.438,3358.93,3449.016,3612.396,3610.024,3617.438,3358.93,3449.016,3612.396,3610.024,3617.438,3358.93,3449.016,3612.396,17272554100,1.88E+11,0.06994,1,-4.522757,,,,,0
2007-4-20,3460.904,3591.461,3460.904,3584.204,3449.016,3460.904,3591.461,3460.904,3584.204,3449.016,3460.904,3591.461,3460.904,3584.204,3449.016,13888929200,1.56E+11,0.056164,1,3.919611,,,,,0
2007-4-23,3615.789,3710.886,3615.789,3710.886,3584.204,3615.789,3710.886,3615.789,3710.886,3584.204,3615.789,3710.886,3615.789,3710.886,3584.204,16349811600,1.83E+11,0.066047,1,3.53445,,,,,0
2007-4-24,3736.154,3762.388,3689.134,3720.532,3710.886,3736.154,3762.388,3689.134,3720.532,3710.886,3736.154,3762.388,3689.134,3720.532,3710.886,17438934100,2.04E+11,0.070354,1,0.259938,,,,,0
2007-4-25,3708.571,3769.247,3653.989,3743.959,3720.532,3708.571,3769.247,3653.989,3743.959,3720.532,3708.571,3769.247,3653.989,3743.959,3720.532,15176306100,1.75E+11,0.061162,1,0.629668,,,,,0
2007-4-26,3766.476,3784.68,3732.601,3783.063,3743.959,3766.476,3784.68,3732.601,3783.063,3743.959,3766.476,3784.68,3732.601,3783.063,3743.959,11725696800,1.42E+11,0.047215,1,1.044456,,,,,0
2007-4-27,3788.748,3802.923,3720.596,3759.867,3783.063,3788.748,3802.923,3720.596,3759.867,3783.063,3788.748,3802.923,3720.596,3759.867,3783.063,13217545600,1.63E+11,0.053212,1,-0.613155,,,,,0
2007-4-30,3784.272,3851.35,3759.48,3841.272,3759.867,3784.272,3851.35,3759.48,3841.272,3759.867,3784.272,3851.35,3759.48,3841.272,3759.867,14652571300,1.86E+11,0.05885,1,2.165104,,,,,0
2007-5-8,3937.938,3964.714,3901.326,3950.011,3841.272,3937.938,3964.714,3901.326,3950.011,3841.272,3937.938,3964.714,3901.326,3950.011,3841.272,16056820000,2.05E+11,0.064347,1,2.830807,,,,,0
2007-5-9,3961.103,4015.219,3875.384,4013.085,3950.011,3961.103,4015.219,3875.384,4013.085,3950.011,3961.103,4015.219,3875.384,4013.085,3950.011,20839744900,2.55E+11,0.083484,1,1.596805,,,,,0
2007-5-10,4021.422,4072.138,3991.477,4049.701,4013.085,4021.422,4072.138,3991.477,4049.701,4013.085,4021.422,4072.138,3991.477,4049.701,4013.085,17111394000,2.08E+11,0.068471,1,0.912414,,,,,0
2007-5-11,4024.422,4039.668,3949.368,4021.678,4049.701,4024.422,4039.668,3949.368,4021.678,4049.701,4024.422,4039.668,3949.368,4021.678,4049.701,14063821000,1.83E+11,0.056185,1,-0.691976,,,,,0
2007-5-14,3970.661,4081.426,3940.358,4046.392,4021.678,3970.661,4081.426,3940.358,4046.392,4021.678,3970.661,4081.426,3940.358,4046.392,4021.678,13932622100,1.85E+11,0.055212,1,0.614522,,,,,0
2007-5-15,4055.834,4069.846,3891.363,3899.178,4046.392,4055.834,4069.846,3891.363,3899.178,4046.392,4055.834,4069.846,3891.363,3899.178,4046.392,15667755300,2.05E+11,0.062075,1,-3.638157,,,,,0
2007-5-16,3890.809,3987.405,3845.227,3986.043,3899.178,3890.809,3987.405,3845.227,3986.043,3899.178,3890.809,3987.405,3845.227,3986.043,3899.178,13171977400,1.72E+11,0.052123,1,2.227777,,,,,0
2007-5-17,4002.485,4064.283,3982.995,4048.293,3986.043,4002.485,4064.283,3982.995,4048.293,3986.043,4002.485,4064.283,3982.995,4048.293,3986.043,13927798800,1.88E+11,0.055008,1,1.561699,,,,,0
2007-5-18,4041.39,4052.097,3999.165,4030.258,4048.293,4041.39,4052.097,3999.165,4030.258,4048.293,4041.39,4052.097,3999.165,4030.258,4048.293,13075627400,1.74E+11,0.051372,1,-0.445494,,,,,0
2007-5-21,3902.347,4083.416,3892.975,4072.225,4030.258,3902.347,4083.416,3892.975,4072.225,4030.258,3902.347,4083.416,3892.975,4072.225,4030.258,15617106200,2.10E+11,0.061284,1,1.041299,,,,,0
2007-5-22,4091.143,4136.63,4086.825,4110.379,4072.225,4091.143,4136.63,4086.825,4110.379,4072.225,4091.143,4136.63,4086.825,4110.379,4072.225,17356209000,2.33E+11,0.067914,1,0.936928,,,,,0
2007-5-23,4125.426,4175.444,4093.915,4173.709,4110.379,4125.426,4175.444,4093.915,4173.709,4110.379,4125.426,4175.444,4093.915,4173.709,4110.379,16139947800,2.19E+11,0.063127,1,1.540736,,,,,0
2007-5-24,4188.677,4208.388,4089.385,4151.133,4173.709,4188.677,4208.388,4089.385,4151.133,4173.709,4188.677,4208.388,4089.385,4151.133,4173.709,18098438800,2.52E+11,0.070378,1,-0.540914,,,,,0
2007-5-25,4133.192,4190.469,4111.262,4179.776,4151.133,4133.192,4190.469,4111.262,4179.776,4151.133,4133.192,4190.469,4111.262,4179.776,4151.133,15419286000,2.21E+11,0.059861,1,0.690006,,,,,0
2007-5-28,4221.578,4283.93,4215.243,4272.111,4179.776,4221.578,4283.93,4215.243,4272.111,4179.776,4221.578,4283.93,4215.243,4272.111,4179.776,17861517400,2.58E+11,0.069316,1,2.209089,,,,,0
2007-5-29,4288.98,4335.963,4262.024,4334.924,4272.111,4288.98,4335.963,4262.024,4334.924,4272.111,4288.98,4335.963,4262.024,4334.924,4272.111,17209764200,2.49E+11,0.066309,1,1.470303,,,,,0
2007-5-30,4087.405,4275.237,4015.512,4053.088,4334.924,4087.405,4275.237,4015.512,4053.088,4334.924,4087.405,4275.237,4015.512,4053.088,4334.924,18559672900,2.71E+11,0.071469,1,-6.50152,,,,,0
2007-5-31,4006.28,4178.107,3858.04,4109.654,4053.088,4006.28,4178.107,3858.04,4109.654,4053.088,4006.28,4178.107,3858.04,4109.654,4053.088,17311531200,2.40E+11,0.066557,1,1.395625,,,,,0
2007-6-1,4120.628,4181.28,3966.977,4000.742,4109.654,4120.628,4181.28,3966.977,4000.742,4109.654,4120.628,4181.28,3966.977,4000.742,4109.654,16093498500,2.28E+11,0.061863,1,-2.650147,,,,,0
2007-6-4,3981.817,3987.269,3659.089,3670.401,4000.742,3981.817,3987.269,3659.089,3670.401,4000.742,3981.817,3987.269,3659.089,3670.401,4000.742,11485935700,1.46E+11,0.044083,1,-8.256995,,,,,0
2007-6-5,3564.433,3768.563,3404.146,3767.101,3670.401,3564.433,3768.563,3404.146,3767.101,3670.401,3564.433,3768.563,3404.146,3767.101,3670.401,15713795900,1.79E+11,0.060243,1,2.634595,,,,,0
2007-6-6,3781.375,3821.697,3682.794,3776.317,3767.101,3781.375,3821.697,3682.794,3776.317,3767.101,3781.375,3821.697,3682.794,3776.317,3767.101,14587385200,1.75E+11,0.055864,1,0.24464,,,,,0
2007-6-7,3787.702,3891.403,3779.5,3890.803,3776.317,3787.702,3891.403,3779.5,3890.803,3776.317,3787.702,3891.403,3779.5,3890.803,3776.317,14236647500,1.78E+11,0.054503,1,3.031686,,,,,0
2007-6-8,3900.027,3935.786,3852.045,3913.135,3890.803,3900.027,3935.786,3852.045,3913.135,3890.803,3900.027,3935.786,3852.045,3913.135,3890.803,13587719200,1.79E+11,0.051973,1,0.57397,,,,,0
2007-6-11,3942.005,4000.416,3930.74,3995.68,3913.135,3942.005,4000.416,3930.74,3995.68,3913.135,3942.005,4000.416,3930.74,3995.68,3913.135,13384273900,1.79E+11,0.050837,1,2.109432,,,,,0
2007-6-12,4011.679,4073.181,3910.001,4072.138,3995.68,4011.679,4073.181,3910.001,4072.138,3995.68,4011.679,4073.181,3910.001,4072.138,3995.68,14947239800,2.05E+11,0.056759,1,1.913517,,,,,0
2007-6-13,4110.742,4193.446,4102.041,4176.48,4072.138,4110.742,4193.446,4102.041,4176.48,4072.138,4110.742,4193.446,4102.041,4176.48,4072.138,16694849900,2.20E+11,0.063325,1,2.56234,,,,,0
2007-6-14,4162.207,4179.725,4085.785,4115.209,4176.48,4162.207,4179.725,4085.785,4115.209,4176.48,4162.207,4179.725,4085.785,4115.209,4176.48,13838560400,1.86E+11,0.052445,1,-1.467049,,,,,0
2007-6-15,4085.656,4152.543,4067.357,4132.869,4115.209,4085.656,4152.543,4067.357,4132.869,4115.209,4085.656,4152.543,4067.357,4132.869,4115.209,10866553200,1.52E+11,0.041134,1,0.429144,,,,,0
2007-6-18,4195.391,4267.74,4193.314,4253.348,4132.869,4195.391,4267.74,4193.314,4253.348,4132.869,4195.391,4267.74,4193.314,4253.348,4132.869,12897774800,1.82E+11,0.048782,1,2.915142,,,,,0
2007-6-19,4247.745,4280.85,4209.575,4269.524,4253.348,4247.745,4280.85,4209.575,4269.524,4253.348,4247.745,4280.85,4209.575,4269.524,4253.348,12458181400,1.79E+11,0.047104,1,0.380307,,,,,0
2007-6-20,4269.455,4311.997,4164.275,4181.323,4269.524,4269.455,4311.997,4164.275,4181.323,4269.524,4269.455,4311.997,4164.275,4181.323,4269.524,13521277500,1.92E+11,0.051094,1,-2.06582,,,,,0
2007-6-21,4170.894,4256.542,4147.054,4230.823,4181.323,4170.894,4256.542,4147.054,4230.823,4181.323,4170.894,4256.542,4147.054,4230.823,4181.323,11291985600,1.62E+11,0.042662,1,1.183836,,,,,0
2007-6-22,4230.967,4249.431,4024.489,4091.445,4230.823,4230.967,4249.431,4024.489,4091.445,4230.823,4230.967,4249.431,4024.489,4091.445,4230.823,11969203700,1.68E+11,0.045184,1,-3.294351,,,,,0
2007-6-25,4102.787,4131.13,3912.422,3941.081,4091.445,4102.787,4131.13,3912.422,3941.081,4091.445,4102.787,4131.13,3912.422,3941.081,4091.445,10160665500,1.41E+11,0.038249,1,-3.675083,,,,,0
2007-6-26,3863.248,3976.191,3818.853,3973.371,3941.081,3863.248,3976.191,3818.853,3973.371,3941.081,3863.248,3976.191,3818.853,3973.371,3941.081,9381746900,1.22E+11,0.035267,1,0.819319,,,,,0
2007-6-27,3985.716,4090.715,3948.287,4078.599,3973.371,3985.716,4090.715,3948.287,4078.599,3973.371,3985.716,4090.715,3948.287,4078.599,3973.371,9511348100,1.26E+11,0.035676,1,2.648331,,,,,0
2007-6-28,4080.194,4113.283,3912.814,3914.204,4078.599,4080.194,4113.283,3912.814,3914.204,4078.599,4080.194,4113.283,3912.814,3914.204,4078.599,9783161000,1.27E+11,0.036673,1,-4.030674,,,,,0
2007-6-29,3824.29,3919.345,3779.813,3820.703,3914.204,3824.29,3919.345,3779.813,3820.703,3914.204,3824.29,3919.345,3779.813,3820.703,3914.204,8609998500,1.05E+11,0.032268,1,-2.388767,,,,,0
2007-7-2,3800.233,3859.861,3724.187,3836.294,3820.703,3800.233,3859.861,3724.187,3836.294,3820.703,3800.233,3859.861,3724.187,3836.294,3820.703,7425406000,89585502290,0.027728,1,0.408068,,,,,0
2007-7-3,3854.716,3906.761,3821.463,3899.724,3836.294,3854.716,3906.761,3821.463,3899.724,3836.294,3854.716,3906.761,3821.463,3899.724,3836.294,6974921700,85506976110,0.026036,1,1.653423,,,,,0
2007-7-4,3906.012,3916.475,3800.275,3816.165,3899.724,3906.012,3916.475,3800.275,3816.165,3899.724,3906.012,3916.475,3800.275,3816.165,3899.724,5647477700,72263450668,0.021064,1,-2.142692,,,,,0
2007-7-5,3769.639,3778.399,3614.531,3615.872,3816.165,3769.639,3778.399,3614.531,3615.872,3816.165,3769.639,3778.399,3614.531,3615.872,3816.165,6340593600,73755081218,0.023564,1,-5.248541,,,,,0
2007-7-6,3599.818,3785.346,3563.544,3781.348,3615.872,3599.818,3785.346,3563.544,3781.348,3615.872,3599.818,3785.346,3563.544,3781.348,3615.872,8073724100,92306322866,0.029979,1,4.576374,,,,,0
2007-7-9,3809.67,3900.904,3782.733,3883.216,3781.348,3809.67,3900.904,3782.733,3883.216,3781.348,3809.67,3900.904,3782.733,3883.216,3781.348,8348053900,99410612113,0.030965,1,2.693964,,,,,0
2007-7-10,3895.909,3929.416,3841.801,3853.021,3883.216,3895.909,3929.416,3841.801,3853.021,3883.216,3895.909,3929.416,3841.801,3853.021,3883.216,7656333400,93739498017,0.028297,1,-0.777579,,,,,0
2007-7-11,3837.796,3879.292,3812.138,3865.723,3853.021,3837.796,3879.292,3812.138,3865.723,3853.021,3837.796,3879.292,3812.138,3865.723,3853.021,5135388000,62299661073,0.018941,1,0.329661,,,,,0
2007-7-12,3874.039,3925.604,3861.037,3915.991,3865.723,3874.039,3925.604,3861.037,3915.991,3865.723,3874.039,3925.604,3861.037,3915.991,3865.723,5515836300,70286328097,0.020328,1,1.300354,,,,,0
2007-7-13,3920.827,3935.506,3878.184,3914.395,3915.991,3920.827,3935.506,3878.184,3914.395,3915.991,3920.827,3935.506,3878.184,3914.395,3915.991,4602447100,56375761362,0.016954,1,-0.040755,,,,,0
2007-7-16,3920.653,3931.868,3820.574,3821.916,3914.395,3920.653,3931.868,3820.574,3821.916,3914.395,3920.653,3931.868,3820.574,3821.916,3914.395,4761528000,58881864143,0.017539,1,-2.362536,,,,,0
2007-7-17,3809.558,3919.777,3767.222,3896.191,3821.916,3809.558,3919.777,3767.222,3896.191,3821.916,3809.558,3919.777,3767.222,3896.191,3821.916,4871222300,60523645457,0.017935,1,1.943394,,,,,0
2007-7-18,3880.852,3971.61,3861.907,3930.06,3896.191,3880.852,3971.61,3861.907,3930.06,3896.191,3880.852,3971.61,3861.907,3930.06,3896.191,6287183400,80028948101,0.023126,1,0.869289,,,,,0
2007-7-19,3918.539,3947.33,3887.589,3912.941,3930.06,3918.539,3947.33,3887.589,3912.941,3930.06,3918.539,3947.33,3887.589,3912.941,3930.06,4873759500,62965662475,0.017918,1,-0.435595,,,,,0
2007-7-20,3918.409,4062.116,3918.409,4058.853,3912.941,3918.409,4062.116,3918.409,4058.853,3912.941,3918.409,4062.116,3918.409,4058.853,3912.941,8311064600,1.05E+11,0.030544,1,3.728963,,,,,0
2007-7-23,4091.242,4220.322,4091.242,4213.361,4058.853,4091.242,4220.322,4091.242,4213.361,4058.853,4091.242,4220.322,4091.242,4213.361,4058.853,12166896400,1.54E+11,0.044712,1,3.806686,,,,,0
2007-7-24,4238.32,4284.829,4192.72,4210.329,4213.361,4238.32,4284.829,4192.72,4210.329,4213.361,4238.32,4284.829,4192.72,4210.329,4213.361,11098925200,1.42E+11,0.040773,1,-0.071955,,,,,0
2007-7-25,4212.95,4325.378,4212.23,4323.966,4210.329,4212.95,4325.378,4212.23,4323.966,4210.329,4212.95,4325.378,4212.23,4323.966,4210.329,9395004300,1.26E+11,0.034485,1,2.698998,,,,,0
2007-7-26,4347.778,4371.512,4304.193,4346.458,4323.966,4347.778,4371.512,4304.193,4346.458,4323.966,4347.778,4371.512,4304.193,4346.458,4323.966,9921066900,1.33E+11,0.036353,1,0.520175,,,,,0
2007-7-27,4315.373,4357.343,4268.788,4345.357,4346.458,4315.373,4357.343,4268.788,4345.357,4346.458,4315.373,4357.343,4268.788,4345.357,4346.458,10024581300,1.38E+11,0.036707,1,-0.025333,,,,,0
2007-7-30,4348.607,4450.188,4345.793,4440.769,4345.357,4348.607,4450.188,4345.793,4440.769,4345.357,4348.607,4450.188,4345.793,4440.769,4345.357,11258976800,1.54E+11,0.041078,1,2.195725,,,,,0
2007-7-31,4432.265,4476.626,4379.199,4471.032,4440.769,4432.265,4476.626,4379.199,4471.032,4440.769,4432.265,4476.626,4379.199,4471.032,4440.769,10856141000,1.50E+11,0.039586,1,0.681485,,,,,0
2007-8-1,4488.774,4502.296,4284.871,4300.563,4471.032,4488.774,4502.296,4284.871,4300.563,4471.032,4488.774,4502.296,4284.871,4300.563,4471.032,12629287400,1.71E+11,0.046012,1,-3.812749,,,,,0
2007-8-2,4316.567,4431.85,4290.809,4407.73,4300.563,4316.567,4431.85,4290.809,4407.73,4300.563,4316.567,4431.85,4290.809,4407.73,4300.563,9827857800,1.41E+11,0.03574,1,2.491929,,,,,0
2007-8-3,4440.976,4562.688,4438.963,4560.774,4407.73,4440.976,4562.688,4438.963,4560.774,4407.73,4440.976,4562.688,4438.963,4560.774,4407.73,11511667200,1.74E+11,0.041847,1,3.472171,,,,,0
2007-8-6,4600.118,4629.968,4564.313,4628.108,4560.774,4600.118,4629.968,4564.313,4628.108,4560.774,4600.118,4629.968,4564.313,4628.108,4560.774,11170797900,1.68E+11,0.040559,1,1.476372,,,,,0
2007-8-7,4642.01,4687.435,4581.294,4651.225,4628.108,4642.01,4687.435,4581.294,4651.225,4628.108,4642.01,4687.435,4581.294,4651.225,4628.108,11618108500,1.80E+11,0.04217,1,0.499495,,,,,0
2007-8-8,4614.586,4711.316,4568.695,4663.162,4651.225,4614.586,4711.316,4568.695,4663.162,4651.225,4614.586,4711.316,4568.695,4663.162,4651.225,11890916300,1.59E+11,0.043129,1,0.256642,,,,,0
2007-8-9,4658.592,4768.886,4658.592,4754.095,4663.162,4658.592,4768.886,4658.592,4754.095,4663.162,4658.592,4768.886,4658.592,4754.095,4663.162,9766019800,1.38E+11,0.035415,1,1.950031,,,,,0
2007-8-10,4745.181,4769.619,4640.766,4749.369,4754.095,4745.181,4769.619,4640.766,4749.369,4754.095,4745.181,4769.619,4640.766,4749.369,4754.095,10186705800,1.47E+11,0.036924,1,-0.099411,,,,,0
2007-8-13,4768.619,4872.548,4728.892,4820.064,4749.369,4768.619,4872.548,4728.892,4820.064,4749.369,4768.619,4872.548,4728.892,4820.064,4749.369,11418471400,1.62E+11,0.041377,1,1.48851,,,,,0
2007-8-14,4820.15,4876.851,4789.895,4872.785,4820.064,4820.15,4876.851,4789.895,4872.785,4820.064,4820.15,4876.851,4789.895,4872.785,4820.064,8856820800,1.28E+11,0.032077,1,1.093786,,,,,0
2007-8-15,4875.511,4916.31,4762.718,4869.883,4872.785,4875.511,4916.31,4762.718,4869.883,4872.785,4875.511,4916.31,4762.718,4869.883,4872.785,9050967500,1.31E+11,0.032747,1,-0.059562,,,,,0
2007-8-16,4845.016,4845.016,4710.31,4765.448,4869.883,4845.016,4845.016,4710.31,4765.448,4869.883,4845.016,4845.016,4710.31,4765.448,4869.883,9053841100,1.28E+11,0.032662,1,-2.144499,,,,,0
2007-8-17,4733.137,4814.369,4646.433,4656.574,4765.448,4733.137,4814.369,4646.433,4656.574,4765.448,4733.137,4814.369,4646.433,4656.574,4765.448,9115904800,1.34E+11,0.032862,1,-2.284654,,,,,0
2007-8-20,4773.832,4906.003,4758.397,4904.855,4656.574,4773.832,4906.003,4758.397,4904.855,4656.574,4773.832,4906.003,4758.397,4904.855,4656.574,9915293700,1.45E+11,0.035613,1,5.331833,,,,,0
2007-8-21,4944.214,4982.981,4917.821,4955.207,4904.855,4944.214,4982.981,4917.821,4955.207,4904.855,4944.214,4982.981,4917.821,4955.207,4904.855,10420410900,1.56E+11,0.037415,1,1.026576,,,,,0
2007-8-22,4876.345,4999.195,4861.271,4980.075,4955.207,4876.345,4999.195,4861.271,4980.075,4955.207,4876.345,4999.195,4861.271,4980.075,4955.207,10811093800,1.62E+11,0.038802,1,0.501859,,,,,0
2007-8-23,5002.841,5050.383,4968.327,5032.494,4980.075,5002.841,5050.383,4968.327,5032.494,4980.075,5002.841,5050.383,4968.327,5032.494,4980.075,9930942800,1.53E+11,0.035623,1,1.052573,,,,,0
2007-8-24,5070.651,5125.359,5052.241,5107.668,5032.494,5070.651,5125.359,5052.241,5107.668,5032.494,5070.651,5125.359,5052.241,5107.668,5032.494,10899563600,1.65E+11,0.039097,1,1.493769,,,,,0
